season,team,off_epa_play,def_epa_play,off_epa_adj,def_epa_adj,net_epa_adj,plays
2009,ARI,-0.0075821611010625,-0.0583944402680944,-0.0314728705008706,-0.0259990940106083,-0.0054737764902622,985
2009,ATL,0.0244889311123142,0.0166921411506577,0.0559998436034177,0.004114801041074,0.0518850425623436,1048
2009,BAL,0.0536366992907742,-0.0970883509937382,0.0381323416243026,-0.0912710811169748,0.1294034227412774,1014
2009,BUF,-0.1268457105291331,-0.0386513015778101,-0.1144611464388763,-0.0645324923738654,-0.0499286540650109,912
2009,CAR,-0.0517790839346022,-0.0600761022923558,-0.0331712789210561,-0.098532930672561,0.0653616517515048,1023
2009,CHI,-0.096469536023909,0.0290851808038659,-0.0971392006123257,0.0443529889473474,-0.1414921895596732,971
2009,CIN,-0.0025611600966233,-0.0583942893321234,-0.0010354868048985,-0.0410811773694183,0.0400456905645197,1011
2009,CLE,-0.1669420369179482,0.0588099404397938,-0.1687006272584999,0.0606327035046131,-0.2293333307631131,971
2009,DAL,0.1064730130582058,-0.0499469901274072,0.1080570627858459,-0.0576189397878492,0.1656760025736952,1020
2009,DEN,-0.0308267261490166,-0.0800075242990826,-0.0449738401909318,-0.090442736064627,0.0454688958736951,1032
2009,DET,-0.1759236652679352,0.0657640993857102,-0.1756013054499351,0.0705785910858066,-0.2461798965357418,1037
2009,GB,0.1101818257640313,-0.1472515064921639,0.0898417746935758,-0.1022248038053658,0.1920665784989417,1042
2009,HOU,0.0601597813145361,-0.0265358751322566,0.0488919547330494,-0.0190982546062738,0.0679902093393233,1043
2009,IND,0.1067130998735196,-0.0166477878278965,0.1068031768024529,-0.013344449617231,0.1201476264196839,980
2009,JAX,0.0105520049137581,0.0832157734504484,0.0068623510439386,0.0933524907853831,-0.0864901397414444,1009
2009,KC,-0.1432129926402325,0.0328964939440216,-0.1473565888134647,0.0315230528990667,-0.1788796417125315,1019
2009,LA,-0.2154446710689489,0.0862149228160079,-0.2249423336922466,0.0906125231344536,-0.3155548568267003,998
2009,LAC,0.1242755446176058,0.0130093025808702,0.1211781601583588,0.0348844249927022,0.0862937351656566,972
2009,LV,-0.1993897696985869,0.041479989096756,-0.1877769729456134,0.0295862063764681,-0.2173631793220816,944
2009,MIA,0.011344267380526,0.0226028720011271,0.0337871395631297,-0.0148178021091694,0.0486049416722991,1088
2009,MIN,0.0730805174971187,-0.0666484447531142,0.0612116753697099,-0.0284182674104437,0.0896299427801536,1055
2009,NE,0.1029977380910001,-0.0277302962365586,0.1353518565771072,-0.0417108439996994,0.1770627005768066,1076
2009,NO,0.1379369876102709,-0.0476791523185964,0.150855887715488,-0.0362399321185467,0.1870958198340347,1032
2009,NYG,0.0512357760312417,0.0622053667706244,0.0655947988382584,0.0453318229919298,0.0202629758463286,1017
2009,NYJ,-0.0699281318303985,-0.1799056256370484,-0.0690060515869566,-0.2080577268467044,0.1390516752597478,1030
2009,PHI,0.0297251751691256,-0.0840104198936812,0.0271198315367538,-0.0909602366300017,0.1180800681667555,975
2009,PIT,0.0531335940700648,-0.0223108949448242,0.0438929288015687,-0.0042322175371874,0.0481251463387562,1015
2009,SEA,-0.108305919041289,0.0220587615737431,-0.1224039478216048,0.0463054860947818,-0.1687094339163866,1045
2009,SF,-0.0778229338228785,-0.1194791067257205,-0.1088515617998475,-0.0999246065820411,-0.0089269552178064,939
2009,TB,-0.1571790561434301,0.0386504285122575,-0.1271177497269532,-0.0076558975938806,-0.1194618521330726,961
2009,TEN,0.0310186464251784,0.0514494344346298,0.0237065476769712,0.0336211572842014,-0.0099146096072302,990
2009,WAS,-0.0508710381497877,-0.0086705289188102,-0.0574073591563613,-0.0140266896961455,-0.0433806694602158,970
2010,ARI,-0.2220635959253711,-0.0292141255862255,-0.2419550181775806,0.0050834327499439,-0.2470384509275245,931
2010,ATL,0.0502592018394569,-0.0567778086844144,0.0447092252077174,-0.0259212143150268,0.0706304395227443,1097
2010,BAL,0.0008274941820565,-0.0374769608717947,-0.0048715866729502,-0.0510642918020791,0.0461927051291289,1018
2010,BUF,-0.0885755479801995,0.0646204205720482,-0.0557582594616553,0.0318605932827336,-0.087618852744389,954
2010,CAR,-0.2535140152839371,-0.0332985152572997,-0.2553824454635576,-0.0206247712622952,-0.2347576742012623,962
2010,CHI,-0.0846099297017244,-0.0965833573653734,-0.0645575264457821,-0.1036116431338008,0.0390541166880186,936
2010,CIN,-0.0405690872089641,0.0259162321811302,-0.0172491339283841,0.0059322016059572,-0.0231813355343414,1046
2010,CLE,-0.0860618969192144,0.0223839460139129,-0.0757596602304803,0.0038553813335346,-0.079615041564015,927
2010,DAL,0.0238516537891932,0.0093273794765942,0.0250805885749888,0.0017539681523693,0.0233266204226195,1035
2010,DEN,-0.0199226752849481,0.1114215241168988,-0.02083508419128,0.1204663084200903,-0.1413013926113704,1018
2010,DET,-0.0201726914292636,-0.0070642384755126,0.0120968073057206,-0.0212881953108729,0.0333850026165936,1064
2010,GB,0.0895645292009851,-0.1034026174778507,0.1160573486285959,-0.1073684667116258,0.2234258153402217,1000
2010,HOU,0.092525849044349,0.1437168696461871,0.089721144300125,0.1251253193953217,-0.0354041750951966,1029
2010,IND,0.099183207498624,0.0256093773783775,0.0687836686897459,-0.0104246702948691,0.079208338984615,1088
2010,JAX,0.0258575784652052,0.131959606375043,0.007782811507458,0.1099703392785782,-0.1021875277711201,1019
2010,KC,0.0290532843820706,-0.0288525456583516,-0.0016131585121762,-0.0105604458917881,0.0089472873796118,1063
2010,LA,-0.1025281787853592,-0.040305136603939,-0.1262151777091787,0.0073993793166556,-0.1336145570258343,1053
2010,LAC,0.1161031816940434,-0.1008309295023556,0.0776944912264409,-0.0942952612430329,0.1719897524694738,1039
2010,LV,-0.0084598148532836,-0.0444950869499924,-0.0304892945163574,-0.0395247651556773,0.0090354706393199,1040
2010,MIA,-0.0695273160663959,-0.0236976547606978,-0.0351545936891633,-0.0480116487620828,0.0128570550729195,1040
2010,MIN,-0.116504836472343,-0.0423199284653406,-0.0876310965880904,-0.0612189513305787,-0.0264121452575117,982
2010,NE,0.1925828264781508,-0.0083067472079889,0.2324494178293355,-0.0138098965184863,0.2462593143478218,986
2010,NO,0.0412261745778581,-0.0318809464732012,0.0366366068047356,0.0152794886796863,0.0213571181250492,1067
2010,NYG,-0.0188314585135698,-0.0656976139101047,-0.0302440275777783,-0.0712000614244034,0.040956033846625,1035
2010,NYJ,-0.0209276468242936,-0.0953793063428979,-0.017133136963447,-0.1272307687645338,0.1100976318010868,1086
2010,PHI,0.0963927975572939,-0.0101948678889506,0.098398832700265,-0.0191313807181386,0.1175302134184037,1038
2010,PIT,0.0517221247643301,-0.1165833009560741,0.0590328495446386,-0.1123924268481945,0.1714252763928332,993
2010,SEA,-0.0925708998062411,0.0425011465511272,-0.0937206191736384,0.0973436951384431,-0.1910643143120815,964
2010,SF,-0.0642543309564714,-0.0449514947043393,-0.0815815242505979,-0.0079201677111696,-0.0736613565394282,945
2010,TB,0.0513244774288575,-0.0087213639932303,0.04555151764591,0.0384929125406789,0.0070586051052311,955
2010,TEN,-0.0319914014110653,-0.0058640060857822,-0.0572670535502487,-0.0456967672861861,-0.0115702862640625,907
2010,WAS,-0.0604911003493185,0.0528936083313939,-0.05767895573282,0.0271843320118443,-0.0848632877446643,1002
2011,ARI,-0.0833051456793646,-0.0275136202559319,-0.0802529416672785,-0.0153375016357788,-0.0649154400314997,993
2011,ATL,0.0378758420731554,-0.0375711954546285,0.0235124862017338,-0.0612658141336062,0.08477830033534,1073
2011,BAL,0.0041400587123256,-0.1387441505380045,0.0142584515199154,-0.1037852439868626,0.1180436955067781,1036
2011,BUF,-0.011377431900101,0.05783433978779,-0.0182863840175922,0.045673008391602,-0.0639593924091943,992
2011,CAR,0.120109346948919,0.1164799929692649,0.1239458967752679,0.114859504385138,0.0090863923901299,999
2011,CHI,-0.0986254867332696,-0.0660204032863822,-0.1174425086598531,-0.1117098389060746,-0.0057326697537784,978
2011,CIN,-0.0406881999823086,-0.0271312307068012,-0.0209562699106201,0.0099112043895032,-0.0308674743001234,1015
2011,CLE,-0.1010592132215703,0.0022662579900007,-0.0769590965425636,0.0263751825772088,-0.1033342791197725,1024
2011,DAL,0.0469386095851358,0.0099091224936387,0.0506464647425155,0.0161983306409063,0.0344481341016092,1017
