game_id,season,date,home_team,away_team,source,is_closing,home_dec,away_dec,p_home,total_line,over_dec,under_dec,p_over,pl_home,pl_home_dec,pl_away_dec,p_pl_home,n_books
2007020001,2007,2007-09-29,LAK,ANA,sbr_close,True,2.0300000000000002,1.8130081300813008,0.47176796632042145,6.0,,,,,,,,1
2007020002,2007,2007-09-30,ANA,LAK,sbr_close,True,1.6578947368421053,2.3200000000000003,0.5832230748875364,6.0,,,,,,,,1
2007020003,2007,2007-10-03,CAR,MTL,sbr_close,True,1.625,2.4,0.5962732919254659,6.0,,,,,,,,1
2007020004,2007,2007-10-03,DET,ANA,sbr_close,True,1.434782608695652,2.9,0.6690070210631895,5.5,,,,,,,,1
2007020005,2007,2007-10-03,TOR,OTT,sbr_close,True,2.05,1.8,0.4675324675324676,6.0,,,,,,,,1
2007020006,2007,2007-10-03,COL,DAL,sbr_close,True,1.6451612903225805,2.35,0.5882115462252726,5.5,,,,,,,,1
2007020007,2007,2007-10-04,NYR,FLA,sbr_close,True,1.526315789473684,2.7,0.638854296388543,5.5,,,,,,,,1
2007020008,2007,2007-10-04,OTT,TOR,sbr_close,True,1.5882352941176472,2.5,0.6115107913669063,6.0,,,,,,,,1
2007020009,2007,2007-10-04,TBL,NJD,sbr_close,True,1.7407407407407407,2.15,0.552594002855783,5.5,,,,,,,,1
2007020010,2007,2007-10-04,NSH,COL,sbr_close,True,1.8333333333333335,2.0,0.5217391304347826,5.5,,,,,,,,1
2007020011,2007,2007-10-04,MIN,CHI,sbr_close,True,1.434782608695652,2.9,0.6690070210631895,5.0,,,,,,,,1
2007020012,2007,2007-10-04,CGY,PHI,sbr_close,True,1.6666666666666665,2.3,0.5798319327731092,5.5,,,,,,,,1
2007020013,2007,2007-10-04,EDM,SJS,sbr_close,True,2.25,1.6896551724137931,0.42888402625820565,5.5,,,,,,,,1
2007020014,2007,2007-10-04,UTA,STL,sbr_close,True,2.0,1.8333333333333335,0.4782608695652174,5.5,,,,,,,,1
2007020015,2007,2007-10-05,CAR,PIT,sbr_close,True,1.9090909090909092,1.9090909090909092,0.5,6.5,,,,,,,,1
2007020016,2007,2007-10-05,CBJ,ANA,sbr_close,True,2.0,1.8333333333333335,0.4782608695652174,5.5,,,,,,,,1
2007020017,2007,2007-10-05,BUF,NYI,sbr_close,True,1.5555555555555556,2.6,0.6256684491978609,6.0,,,,,,,,1
2007020018,2007,2007-10-05,WPG,WSH,sbr_close,True,1.6451612903225805,2.35,0.5882115462252726,6.5,,,,,,,,1
2007020019,2007,2007-10-05,DAL,BOS,sbr_close,True,1.5555555555555556,2.6,0.6256684491978609,5.5,,,,,,,,1
2007020020,2007,2007-10-05,VAN,SJS,sbr_close,True,1.8,2.05,0.5324675324675325,5.0,,,,,,,,1
2007020021,2007,2007-10-06,EDM,PHI,sbr_close,True,2.0,1.8333333333333335,0.4782608695652174,5.5,,,,,,,,1
2007020022,2007,2007-10-06,TOR,MTL,sbr_close,True,1.6451612903225805,2.35,0.5882115462252726,6.0,,,,,,,,1
2007020023,2007,2007-10-06,OTT,NYR,sbr_close,True,1.7692307692307692,2.1,0.5427435387673957,6.0,,,,,,,,1
2007020024,2007,2007-10-06,NYI,BUF,sbr_close,True,2.1,1.7692307692307692,0.4572564612326044,6.0,,,,,,,,1
2007020025,2007,2007-10-06,WSH,CAR,sbr_close,True,1.7692307692307692,2.1,0.5427435387673957,6.5,,,,,,,,1
2007020026,2007,2007-10-06,FLA,NJD,sbr_close,True,1.6666666666666665,2.3,0.5798319327731092,5.5,,,,,,,,1
2007020027,2007,2007-10-06,PIT,ANA,sbr_close,True,1.5882352941176472,2.5,0.6115107913669063,6.0,,,,,,,,1
2007020028,2007,2007-10-06,TBL,WPG,sbr_close,True,1.7407407407407407,2.15,0.552594002855783,6.0,,,,,,,,1
2007020029,2007,2007-10-06,NSH,DAL,sbr_close,True,1.8,2.05,0.5324675324675325,5.5,,,,,,,,1
2007020030,2007,2007-10-06,MIN,CBJ,sbr_close,True,1.4545454545454546,2.9,0.6659707724425887,5.0,,,,,,,,1
2007020031,2007,2007-10-06,CHI,DET,sbr_close,True,2.5,1.5882352941176472,0.38848920863309355,5.0,,,,,,,,1
2007020032,2007,2007-10-06,CGY,VAN,sbr_close,True,1.6451612903225805,2.35,0.5882115462252726,5.0,,,,,,,,1
2007020033,2007,2007-10-06,UTA,BOS,sbr_close,True,1.8,2.05,0.5324675324675325,5.5,,,,,,,,1
2007020034,2007,2007-10-06,LAK,STL,sbr_close,True,1.6666666666666665,2.3,0.5798319327731092,5.5,,,,,,,,1
2007020035,2007,2007-10-07,COL,SJS,sbr_close,True,1.7692307692307692,2.1,0.5427435387673957,5.5,,,,,,,,1
2007020036,2007,2007-10-08,NYI,WSH,sbr_close,True,1.8695652173913042,1.9523809523809523,0.5108342361863489,6.0,,,,,,,,1
2007020037,2007,2007-10-08,OTT,NJD,sbr_close,True,1.5882352941176472,2.5,0.6115107913669063,5.0,,,,,,,,1
2007020038,2007,2007-10-08,DET,EDM,sbr_close,True,1.4545454545454546,2.9,0.6659707724425887,5.5,,,,,,,,1
2007020039,2007,2007-10-09,TOR,CAR,sbr_close,True,1.6896551724137931,2.25,0.5711159737417943,6.0,,,,,,,,1
2007020040,2007,2007-10-10,NYI,NYR,sbr_close,True,2.25,1.6896551724137931,0.42888402625820565,5.5,,,,,,,,1
2007020041,2007,2007-10-10,WPG,OTT,sbr_close,True,2.4,1.625,0.40372670807453415,6.0,,,,,,,,1
2007020042,2007,2007-10-10,CBJ,UTA,sbr_close,True,1.5405405405405406,2.65,0.6323766526926797,5.5,,,,,,,,1
2007020043,2007,2007-10-10,PIT,MTL,sbr_close,True,1.5882352941176472,2.5,0.6115107913669063,6.0,,,,,,,,1
2007020044,2007,2007-10-10,TBL,FLA,sbr_close,True,1.7142857142857144,2.2,0.5620437956204379,6.0,,,,,,,,1
2007020045,2007,2007-10-10,DET,CGY,sbr_close,True,1.526315789473684,2.7,0.638854296388543,5.0,,,,,,,,1
2007020046,2007,2007-10-10,MIN,EDM,sbr_close,True,1.526315789473684,2.7,0.638854296388543,5.0,,,,,,,,1
2007020047,2007,2007-10-10,CHI,SJS,sbr_close,True,2.35,1.6451612903225805,0.4117884537747275,5.5,,,,,,,,1
2007020048,2007,2007-10-10,STL,NSH,sbr_close,True,1.8695652173913042,1.9523809523809523,0.5108342361863489,5.5,,,,,,,,1
2007020049,2007,2007-10-10,DAL,LAK,sbr_close,True,1.5813953488372094,2.52,0.61442503969154,5.5,,,,,,,,1
2007020050,2007,2007-10-10,VAN,PHI,sbr_close,True,1.6666666666666665,2.3,0.5798319327731092,5.5,,,,,,,,1
2007020051,2007,2007-10-10,ANA,BOS,sbr_close,True,1.4878048780487805,2.75,0.6489208633093525,5.5,,,,,,,,1
2007020052,2007,2007-10-11,BUF,WPG,sbr_close,True,1.434782608695652,2.9,0.6690070210631895,6.0,,,,,,,,1
2007020053,2007,2007-10-11,TOR,NYI,sbr_close,True,1.5555555555555556,2.6,0.6256684491978609,6.0,,,,,,,,1
2007020054,2007,2007-10-11,OTT,CAR,sbr_close,True,1.625,2.4,0.5962732919254659,6.0,,,,,,,,1
2007020055,2007,2007-10-11,FLA,NJD,sbr_close,True,1.8695652173913042,1.9523809523809523,0.5108342361863489,5.5,,,,,,,,1
2007020056,2007,2007-10-11,NSH,UTA,sbr_close,True,1.434782608695652,2.9,0.6690070210631895,5.5,,,,,,,,1
