game_id,season,date,home_team,away_team,source,is_closing,spread_home,total_line,n_books,spread_home_dec,spread_away_dec,over_dec,under_dec,ml_source,home_dec,away_dec,p_home
271030009,2007,2007-10-30,GSW,UTA,,True,,,,,,,,sbr_close,1.8333333333333335,2.0,0.5217391304347826
271030013,2007,2007-10-30,LAL,HOU,,True,,,,,,,,sbr_close,2.9,1.434782608695652,0.33099297893681046
271030024,2007,2007-10-30,SAS,POR,,True,,,,,,,,sbr_close,1.0714285714285714,10.0,0.9032258064516129
271031003,2007,2007-10-31,NOP,SAC,,True,,,,,,,,sbr_close,1.1904761904761905,5.25,0.8151571164510165
271031005,2007,2007-10-31,CLE,DAL,,True,,,,,,,,sbr_close,2.2,1.7142857142857144,0.43795620437956206
271031007,2007,2007-10-31,DEN,OKC,,True,,,,,,,,sbr_close,1.121212121212121,7.25,0.8660633484162896
271031011,2007,2007-10-31,IND,WAS,,True,,,,,,,,sbr_close,2.05,1.8,0.4675324675324676
271031017,2007,2007-10-31,BKN,CHI,,True,,,,,,,,sbr_close,1.8,2.05,0.5324675324675325
271031019,2007,2007-10-31,ORL,MIL,,True,,,,,,,,sbr_close,1.3389830508474576,3.45,0.7204034684126703
271031028,2007,2007-10-31,TOR,PHI,,True,,,,,,,,sbr_close,1.3278688524590163,3.55,0.7277768442278608
271031029,2007,2007-10-31,MEM,SAS,,True,,,,,,,,sbr_close,3.1,1.4,0.31111111111111106
271101014,2007,2007-11-01,MIA,DET,,True,,,,,,,,sbr_close,2.6,1.526315789473684,0.36989795918367335
271101025,2007,2007-11-01,OKC,PHX,,True,,,,,,,,sbr_close,6.75,1.1379310344827587,0.14426229508196722
271101026,2007,2007-11-01,UTA,HOU,,True,,,,,,,,sbr_close,1.625,2.4,0.5962732919254659
271102001,2007,2007-11-02,ATL,DAL,,True,,,,,,,,sbr_close,3.1,1.4,0.31111111111111106
271102002,2007,2007-11-02,BOS,WAS,,True,,,,,,,,sbr_close,1.2985074626865671,3.85,0.7477895347151762
271102003,2007,2007-11-02,NOP,POR,,True,,,,,,,,sbr_close,1.3076923076923077,3.75,0.7414448669201521
271102004,2007,2007-11-02,CHI,PHI,,True,,,,,,,,sbr_close,1.2,5.0,0.8064516129032258
