game_id,team,athlete_id,minutes,gs,os
400578293,NOP,1726,10.0,0.5,1.4
400578293,NOP,3410,2.0,0.7,0.7
400578293,NOP,3412,22.0,14.1,14.3
400578293,NOP,3414,34.0,16.8,11.9
400578293,NOP,3431,32.0,4.0,-0.2
400578293,NOP,3983,35.0,10.0,7.9
400578293,NOP,3995,27.0,6.2,2.7
400578293,NOP,4250,2.0,0.0,0.0
400578293,NOP,6434,18.0,-1.0,-0.8
400578293,NOP,6583,36.0,32.4,21.1
400578293,NOP,6617,20.0,6.1,5.2
400578293,NOP,2333797,2.0,-0.4,-0.7
400578293,ORL,1985,17.0,-1.6,-1.4
400578293,ORL,2004,4.0,0.3,0.0
400578293,ORL,2381,23.0,0.1,0.1
400578293,ORL,6440,37.0,15.4,13.4
400578293,ORL,6478,35.0,18.5,10.1
400578293,ORL,6588,32.0,2.4,2.6
400578293,ORL,6615,21.0,3.8,1.7
400578293,ORL,2527968,3.0,2.5,2.6
400578293,ORL,2580913,8.0,2.6,2.0
400578293,ORL,2583639,31.0,3.8,4.2
400578293,ORL,3064290,28.0,6.6,5.8
400578294,DAL,609,32.0,15.5,14.9
400578294,DAL,984,28.0,7.2,5.1
400578294,DAL,1006,13.0,3.8,4.3
400578294,DAL,2382,29.0,14.7,13.1
400578294,DAL,2439,30.0,8.7,7.4
400578294,DAL,2751,37.0,19.1,17.2
400578294,DAL,3242,18.0,7.2,6.1
400578294,DAL,4248,5.0,-1.8,-1.7
400578294,DAL,6466,34.0,0.9,-2.2
400578294,DAL,6530,2.0,-0.4,0.0
400578294,DAL,6581,11.0,3.0,3.4
400578294,SAS,215,30.0,13.3,8.5
400578294,SAS,272,28.0,15.1,14.1
400578294,SAS,1015,35.0,17.3,17.5
400578294,SAS,1996,15.0,-2.0,-1.4
400578294,SAS,2167,33.0,4.1,2.5
400578294,SAS,3190,31.0,12.7,11.5
400578294,SAS,3988,34.0,7.8,7.8
400578294,SAS,6446,17.0,6.7,6.8
400578294,SAS,2968439,18.0,0.8,0.7
400578295,HOU,841,21.0,5.4,5.4
400578295,HOU,2384,21.0,10.0,8.9
400578295,HOU,2426,30.0,12.5,11.1
400578295,HOU,3964,31.0,6.6,6.6
400578295,HOU,3992,31.0,27.6,26.7
400578295,HOU,4195,20.0,3.6,2.1
400578295,HOU,6464,16.0,2.3,2.6
400578295,HOU,6597,31.0,15.8,11.9
400578295,HOU,2489530,9.0,-2.3,-1.5
400578295,HOU,2490589,7.0,0.6,0.3
400578295,HOU,2528393,24.0,0.0,1.0
400578295,LAL,110,29.0,9.4,9.5
400578295,LAL,1703,28.0,16.0,14.2
400578295,LAL,2807,27.0,3.7,2.6
400578295,LAL,3994,23.0,5.3,4.0
400578295,LAL,4241,18.0,1.1,0.5
400578295,LAL,4247,23.0,1.9,3.3
400578295,LAL,4259,22.0,10.3,9.1
400578295,LAL,4299,29.0,3.5,4.4
400578295,LAL,6620,7.0,-0.5,-1.1
400578295,LAL,2528426,20.0,5.6,5.6
400578295,LAL,3064514,14.0,-1.9,-1.5
400578296,CHA,2389,40.0,11.9,6.3
400578296,CHA,2775,13.0,2.2,2.0
400578296,CHA,2797,33.0,16.9,15.3
400578296,CHA,3993,9.0,-0.4,-1.0
400578296,CHA,4244,40.0,6.5,5.1
400578296,CHA,4300,24.0,2.7,0.5
400578296,CHA,6479,39.0,16.4,13.9
400578296,CHA,6601,34.0,18.6,16.6
400578296,CHA,6641,14.0,4.7,4.1
400578296,CHA,2579258,20.0,6.8,6.7
400578296,MIL,2016,14.0,0.9,-1.7
400578296,MIL,2767,12.0,6.1,5.1
400578296,MIL,3201,26.0,6.0,3.1
400578296,MIL,3417,14.0,2.3,3.1
400578296,MIL,3450,24.0,13.9,14.2
400578296,MIL,4265,26.0,9.7,7.8
400578296,MIL,6448,39.0,19.1,17.2
400578296,MIL,6592,12.0,4.7,3.3
400578296,MIL,6609,36.0,8.0,6.6
400578296,MIL,3032977,24.0,9.5,7.7
400578296,MIL,3056600,37.0,5.4,3.6
400578297,IND,1781,25.0,5.7,4.4
400578297,IND,2774,16.0,4.9,2.8
400578297,IND,2778,33.0,4.6,5.9
400578297,IND,3235,16.0,14.5,13.4
400578297,IND,3436,32.0,22.3,16.7
400578297,IND,4303,34.0,12.7,10.5
400578297,IND,6424,20.0,7.8,5.8
400578297,IND,6635,26.0,5.8,4.9
400578297,IND,2309097,15.0,-1.8,-1.4
400578297,IND,2488958,23.0,4.9,3.1
400578297,PHI,3882,24.0,15.1,16.1
400578297,PHI,6511,16.0,2.8,2.4
400578297,PHI,6630,35.0,17.8,13.5
400578297,PHI,6634,29.0,7.0,4.4
400578297,PHI,6647,23.0,4.3,5.0
400578297,PHI,2325975,32.0,6.2,5.3
400578297,PHI,2490144,18.0,8.9,8.8
400578297,PHI,2566741,20.0,0.1,-1.5
400578297,PHI,2608891,8.0,-4.3,-3.8
400578297,PHI,2991280,35.0,0.6,-1.7
400578298,BKN,261,23.0,5.5,4.5
400578298,BKN,434,10.0,3.2,1.9
400578298,BKN,1007,34.0,9.8,9.2
400578298,BKN,2768,30.0,8.9,6.7
400578298,BKN,2798,39.0,15.0,11.8
400578298,BKN,3593,26.0,2.9,3.4
400578298,BKN,4280,6.0,-0.8,-0.3
400578298,BKN,4385,23.0,17.8,15.6
400578298,BKN,6569,25.0,1.8,1.3
400578298,BKN,2488653,11.0,2.8,2.1
400578298,BKN,2488845,9.0,7.2,7.3
400578298,BKN,2959745,3.0,-0.1,-1.0
400578298,BOS,2745,16.0,5.4,3.1
400578298,BOS,3026,30.0,16.3,12.9
400578298,BOS,3209,36.0,15.5,14.3
400578298,BOS,4017,14.0,7.3,7.4
400578298,BOS,4239,24.0,8.8,6.5
400578298,BOS,4240,30.0,5.7,7.7
400578298,BOS,6624,28.0,10.5,8.7
400578298,BOS,6631,6.0,5.0,5.1
400578298,BOS,2489663,29.0,15.6,15.6
400578298,BOS,2990992,28.0,11.9,8.4
400578299,MIA,1135,24.0,12.0,8.1
400578299,MIA,1977,39.0,24.2,19.6
400578299,MIA,1987,31.0,14.6,13.1
400578299,MIA,2429,30.0,8.2,7.7
400578299,MIA,3038,32.0,1.8,0.9
400578299,MIA,3419,25.0,4.3,4.1
400578299,MIA,6431,28.0,15.0,14.5
