game_id,team,athlete_id,minutes,gs,os
261031013,LAL,617,44.0,28.1,23.3
261031013,LAL,1016,20.0,4.8,5.4
261031013,LAL,1031,29.0,13.5,11.1
261031013,LAL,1823,36.0,12.7,9.0
261031013,LAL,1998,15.0,5.7,5.1
261031013,LAL,2027,29.0,7.3,6.5
261031013,LAL,2421,25.0,-2.2,-2.7
261031013,LAL,2748,24.0,18.3,17.3
261031013,LAL,2789,3.0,1.7,1.7
261031013,LAL,3002,14.0,4.0,3.8
261031013,PHX,49,33.0,6.9,7.0
261031013,PHX,510,38.0,13.9,8.7
261031013,PHX,592,34.0,12.5,12.0
261031013,PHX,846,25.0,10.7,10.2
261031013,PHX,1727,12.0,4.5,3.3
261031013,PHX,2009,12.0,-1.0,-0.8
261031013,PHX,2165,19.0,3.5,2.8
261031013,PHX,2166,37.0,23.5,21.8
261031013,PHX,2167,30.0,2.1,3.6
261031014,CHI,10,14.0,3.9,2.0
261031014,CHI,99,18.0,3.1,1.7
261031014,CHI,285,11.0,1.7,1.4
261031014,CHI,885,28.0,8.6,7.2
261031014,CHI,1981,35.0,21.5,19.1
261031014,CHI,2377,17.0,18.9,18.3
261031014,CHI,2381,23.0,-0.8,-0.9
261031014,CHI,2429,24.0,5.4,4.9
261031014,CHI,2435,14.0,4.5,3.4
261031014,CHI,2456,29.0,7.3,5.1
261031014,CHI,3028,11.0,13.5,11.9
261031014,CHI,3032,16.0,1.5,-0.9
261031014,MIA,580,15.0,-2.6,-2.8
261031014,MIA,614,24.0,0.4,-0.1
261031014,MIA,640,35.0,2.6,2.3
261031014,MIA,671,23.0,0.5,1.4
261031014,MIA,881,36.0,4.1,1.1
261031014,MIA,1987,34.0,16.2,16.1
261031014,MIA,2010,11.0,3.7,2.7
261031014,MIA,2184,28.0,2.9,0.9
261031014,MIA,2423,8.0,-1.2,-1.4
261031014,MIA,2784,8.0,0.6,0.7
261031014,MIA,3046,14.0,0.2,1.0
261031014,MIA,3054,5.0,-3.6,-4.1
261101002,BOS,662,40.0,19.4,14.2
261101002,BOS,831,37.0,13.7,12.8
261101002,BOS,2018,20.0,1.1,-0.6
261101002,BOS,2367,18.0,-2.4,-2.2
261101002,BOS,2389,22.0,8.3,9.4
261101002,BOS,2417,28.0,1.8,1.7
261101002,BOS,2422,22.0,1.5,0.1
261101002,BOS,2757,30.0,6.2,4.1
