game_id,team,athlete_id,minutes,gs,os
251101003,NOP,99,31.0,18.0,16.7
251101003,NOP,150,21.0,13.8,12.6
251101003,NOP,518,16.0,-0.3,-1.5
251101003,NOP,1135,21.0,-0.6,-1.7
251101003,NOP,1723,21.0,3.9,3.1
251101003,NOP,1767,19.0,-3.5,-3.8
251101003,NOP,2177,27.0,3.4,0.7
251101003,NOP,2444,29.0,14.0,12.7
251101003,NOP,2449,11.0,4.3,4.0
251101003,NOP,2745,4.0,0.6,0.7
251101003,NOP,2779,34.0,13.2,8.1
251101003,NOP,2804,4.0,2.0,2.0
251101003,SAC,3,31.0,13.3,11.2
251101003,SAC,61,28.0,3.7,3.0
251101003,SAC,312,18.0,-2.5,-3.1
251101003,SAC,556,25.0,0.3,-0.7
251101003,SAC,779,17.0,1.0,0.9
251101003,SAC,813,34.0,12.5,10.6
251101003,SAC,849,19.0,2.7,1.3
251101003,SAC,901,28.0,-1.6,-2.5
251101003,SAC,936,6.0,-1.1,-0.3
251101003,SAC,2394,20.0,-2.0,-3.5
251101003,SAC,2755,13.0,1.2,0.9
251101003,SAC,2807,2.0,-1.1,-0.7
251101020,MIL,446,16.0,7.4,7.1
251101020,MIL,498,38.0,-2.3,-2.6
251101020,MIL,692,47.0,17.5,15.6
251101020,MIL,1022,43.0,20.8,20.0
251101020,MIL,1034,13.0,8.6,8.5
251101020,MIL,1710,15.0,8.0,6.8
251101020,MIL,1979,34.0,16.5,15.7
251101020,MIL,2178,21.0,-0.4,0.2
251101020,MIL,2747,37.0,13.6,11.6
251101020,PHI,366,50.0,25.9,23.5
251101020,PHI,590,20.0,6.3,5.1
251101020,PHI,620,3.0,0.3,0.7
251101020,PHI,897,48.0,25.5,22.0
251101020,PHI,1002,35.0,8.4,7.0
251101020,PHI,1726,34.0,5.9,7.0
251101020,PHI,2011,36.0,1.9,1.9
251101020,PHI,2386,35.0,10.9,6.8
251101020,PHI,2520,3.0,-0.3,-0.3
251101021,DAL,24,14.0,3.6,4.2
251101021,DAL,147,25.0,-0.9,-0.7
251101021,DAL,181,21.0,8.7,6.6
251101021,DAL,609,49.0,20.1,14.7
251101021,DAL,841,37.0,10.1,10.1
251101021,DAL,869,37.0,8.8,8.8
251101021,DAL,992,5.0,1.4,0.7
251101021,DAL,2006,51.0,9.4,6.3
251101021,DAL,2200,35.0,10.1,6.4
251101021,DAL,2382,18.0,0.6,1.3
251101021,PHX,49,49.0,13.2,12.7
251101021,PHX,280,5.0,3.3,2.7
251101021,PHX,348,5.0,6.4,4.1
251101021,PHX,372,28.0,-1.2,-1.1
251101021,PHX,510,48.0,15.0,9.4
251101021,PHX,592,45.0,19.4,18.6
251101021,PHX,846,23.0,1.7,1.6
251101021,PHX,2009,47.0,9.3,7.2
251101021,PHX,2166,17.0,4.5,3.1
251101021,PHX,2167,24.0,4.2,3.8
251101024,DEN,87,24.0,10.0,9.0
251101024,DEN,111,8.0,0.2,-0.7
251101024,DEN,125,32.0,5.6,1.8
251101024,DEN,234,5.0,0.6,0.0
251101024,DEN,398,7.0,1.7,1.0
251101024,DEN,465,35.0,1.4,0.6
251101024,DEN,515,32.0,9.0,9.7
251101024,DEN,557,39.0,10.1,8.6
251101024,DEN,591,22.0,11.3,10.7
251101024,DEN,1713,3.0,-3.1,-2.7
251101024,DEN,1975,35.0,18.0,18.3
251101024,SAS,42,19.0,3.9,2.7
251101024,SAS,83,20.0,5.3,4.1
251101024,SAS,215,38.0,20.1,15.6
251101024,SAS,242,28.0,11.6,10.8
251101024,SAS,272,29.0,4.7,2.8
251101024,SAS,347,25.0,10.1,6.7
251101024,SAS,568,9.0,4.0,4.4
251101024,SAS,598,10.0,0.5,0.7
251101024,SAS,868,14.0,0.5,1.7
251101024,SAS,1015,34.0,16.7,16.9
251101024,SAS,2805,14.0,3.2,3.8
251102002,BOS,70,43.0,16.0,12.1
251102002,BOS,193,45.0,22.9,17.3
251102002,BOS,454,30.0,13.0,7.7
251102002,BOS,662,45.0,21.5,16.9
251102002,BOS,1021,11.0,-1.3,-1.0
251102002,BOS,2018,10.0,2.3,2.1
251102002,BOS,2389,13.0,2.2,2.0
251102002,BOS,2404,9.0,-1.8,-1.4
251102002,BOS,2422,41.0,22.3,17.0
251102002,BOS,2757,9.0,2.0,1.4
251102002,BOS,2762,11.0,0.9,1.4
251102002,NYK,165,37.0,3.8,1.3
251102002,NYK,189,34.0,7.7,6.2
251102002,NYK,383,8.0,1.8,2.4
251102002,NYK,509,45.0,9.6,9.7
251102002,NYK,703,22.0,6.8,6.4
251102002,NYK,739,5.0,-0.7,-0.7
251102002,NYK,837,22.0,8.2,5.8
251102002,NYK,990,42.0,9.5,7.5
251102002,NYK,1765,24.0,5.3,5.1
251102002,NYK,2426,17.0,5.8,4.0
251102002,NYK,2782,10.0,0.4,1.0
251102004,CHA,94,21.0,6.2,5.8
251102004,CHA,407,10.0,2.4,0.9
251102004,CHA,440,30.0,5.2,5.7
251102004,CHA,1026,43.0,27.9,23.1
251102004,CHA,1709,28.0,12.5,10.8
251102004,CHA,1725,36.0,-0.7,-3.6
251102004,CHA,2211,17.0,8.0,6.7
251102004,CHA,2399,40.0,11.9,9.5
251102004,CHA,2753,23.0,5.6,5.4
251102004,CHA,2776,17.0,-3.0,-2.4
251102004,CHI,10,3.0,-0.7,-0.7
251102004,CHI,307,17.0,0.5,1.0
251102004,CHI,660,17.0,9.7,8.4
251102004,CHI,847,16.0,3.0,2.0
251102004,CHI,984,34.0,10.7,8.8
251102004,CHI,1784,23.0,11.6,9.5
251102004,CHI,1981,28.0,6.1,5.9
251102004,CHI,2175,18.0,6.0,4.6
251102004,CHI,2377,39.0,22.3,19.3
251102004,CHI,2381,40.0,4.4,2.3
251102004,CHI,2429,17.0,7.3,7.4
251102004,CHI,2456,14.0,-0.7,0.5
251102005,CLE,296,5.0,2.6,1.7
251102005,CLE,322,14.0,5.2,5.7
251102005,CLE,356,31.0,5.7,3.7
251102005,CLE,362,25.0,7.5,7.0
251102005,CLE,406,24.0,8.5,8.4
251102005,CLE,512,23.0,14.4,11.3
251102005,CLE,796,20.0,3.9,3.5
251102005,CLE,1711,28.0,10.6,6.8
251102005,CLE,1913,8.0,-1.9,-0.7
251102005,CLE,1966,33.0,24.9,23.5
251102005,CLE,2172,22.0,3.1,3.7
251102005,CLE,2388,5.0,3.0,3.4
251102005,NOP,99,26.0,1.8,2.7
251102005,NOP,150,25.0,12.6,12.0
251102005,NOP,518,22.0,1.3,1.1
251102005,NOP,1135,27.0,9.0,6.7
251102005,NOP,1723,19.0,-1.0,-1.3
251102005,NOP,1767,19.0,-1.3,-1.8
251102005,NOP,2177,25.0,11.9,10.5
251102005,NOP,2444,24.0,13.0,11.1
251102005,NOP,2449,12.0,2.4,2.3
251102005,NOP,2745,6.0,1.7,1.7
251102005,NOP,2779,29.0,8.9,6.1
251102005,NOP,2804,6.0,-1.1,-1.4
251102007,DEN,87,22.0,4.7,4.6
251102007,DEN,111,30.0,7.8,4.8
