game_id,team,athlete_id,minutes,gs,os
400277721,CLE,2027,12.0,-0.7,-1.0
400277721,CLE,2419,37.0,22.1,19.0
400277721,CLE,2778,18.0,-2.2,-3.4
400277721,CLE,3006,16.0,8.8,8.3
400277721,CLE,4232,34.0,-1.4,-1.7
400277721,CLE,4303,13.0,-0.8,-0.0
400277721,CLE,6442,35.0,18.0,17.1
400277721,CLE,6474,32.0,13.5,11.2
400277721,CLE,6628,28.0,9.8,6.2
400277721,CLE,6631,15.0,4.1,2.6
400277721,WAS,1821,16.0,3.8,4.7
400277721,WAS,2399,25.0,9.3,6.3
400277721,WAS,2426,25.0,12.7,7.7
400277721,WAS,2477,16.0,9.9,7.8
400277721,WAS,2795,23.0,9.6,7.1
400277721,WAS,4010,29.0,2.5,2.6
400277721,WAS,4165,21.0,5.8,6.0
400277721,WAS,4243,29.0,8.2,6.3
400277721,WAS,4270,17.0,-4.0,-4.1
400277721,WAS,6470,17.0,3.5,1.7
400277721,WAS,6580,22.0,4.8,3.3
400277722,BOS,261,32.0,5.2,2.1
400277722,BOS,662,41.0,20.7,18.4
400277722,BOS,841,25.0,1.4,1.6
400277722,BOS,2166,16.0,13.0,13.1
400277722,BOS,2745,28.0,13.9,13.2
400277722,BOS,3026,44.0,18.6,18.1
400277722,BOS,3209,23.0,0.7,-1.2
400277722,BOS,3445,24.0,6.8,8.5
400277722,BOS,6624,8.0,0.9,1.0
400277722,MIA,9,31.0,17.3,17.1
400277722,MIA,469,19.0,10.2,8.4
400277722,MIA,558,7.0,0.3,0.7
400277722,MIA,976,29.0,5.1,4.7
400277722,MIA,1966,29.0,25.1,21.2
400277722,MIA,1977,37.0,15.7,12.4
400277722,MIA,1987,35.0,18.8,17.0
400277722,MIA,2184,11.0,-1.2,-1.7
400277722,MIA,3419,36.0,13.1,11.0
400277722,MIA,6431,6.0,0.9,1.7
400277723,DAL,91,36.0,7.8,5.0
400277723,DAL,136,27.0,5.6,4.6
400277723,DAL,510,33.0,9.7,7.5
400277723,DAL,990,17.0,2.3,3.3
400277723,DAL,2008,8.0,-0.8,0.0
400277723,DAL,3242,20.0,11.9,9.8
400277723,DAL,3450,31.0,6.3,5.3
