season,league,team,played,att_goals,def_goals,att_shots,def_shots,ppg,gd_per_game,position,promoted
2006,E0,Man United,38,1.7509,0.6053,1.5605,0.8347,2.342,1.474,1,0
2006,E0,Chelsea,38,1.3446,0.5264,1.2208,0.5868,2.184,1.053,2,0
2006,E0,Arsenal,38,1.3402,0.7674,1.2545,0.7604,1.789,0.737,3,0
2006,E0,Liverpool,38,1.2013,0.5876,1.2907,0.6217,1.789,0.789,4,0
2006,E0,Tottenham,38,1.239,1.1776,1.0852,0.9016,1.579,0.079,5,0
2006,E0,Everton,38,1.1069,0.7796,0.9233,1.1506,1.526,0.421,6,0
2006,E0,Bolton,38,1.0186,1.1208,0.8449,0.9542,1.474,-0.132,7,0
2006,E0,Reading,38,1.1208,1.0186,0.7895,1.1699,1.447,0.132,8,0
2006,E0,Portsmouth,38,0.9641,0.9027,1.0809,1.0678,1.421,0.079,9,0
2006,E0,Blackburn,38,1.1299,1.1708,0.9728,1.3007,1.368,-0.053,10,0
2006,E0,Aston Villa,38,0.9201,0.8792,0.971,0.9973,1.316,0.053,11,0
2006,E0,Middlesbrough,38,0.9501,1.0524,0.8877,1.0844,1.211,-0.132,12,0
2006,E0,Newcastle,38,0.8184,1.0025,0.9822,1.214,1.132,-0.237,13,0
2006,E0,Man City,38,0.6222,0.929,0.9281,0.8712,1.105,-0.395,14,0
2006,E0,West Ham,38,0.7639,1.2549,0.9321,1.142,1.079,-0.632,15,0
2006,E0,Fulham,38,0.8305,1.2806,0.8248,1.0216,1.026,-0.579,16,0
2006,E0,Sheffield United,38,0.6951,1.1656,0.9297,0.9997,1.0,-0.605,17,0
2006,E0,Wigan,38,0.8077,1.2578,0.9406,0.9406,1.0,-0.579,18,0
2006,E0,Charlton,38,0.7429,1.2748,0.7825,1.2241,0.895,-0.684,19,0
2006,E0,Watford,38,0.6327,1.2464,0.7983,1.1568,0.737,-0.789,20,0
2007,E0,Man United,38,1.5574,0.4539,1.4765,0.8352,2.289,1.526,1,0
2007,E0,Chelsea,38,1.2703,0.5282,1.1237,0.7389,2.237,1.026,2,0
2007,E0,Arsenal,38,1.4542,0.6361,1.2046,0.7677,2.184,1.132,3,0
2007,E0,Liverpool,38,1.3122,0.5701,1.3203,0.5708,2.0,1.026,4,0
2007,E0,Everton,38,1.0824,0.6638,0.9809,0.8767,1.711,0.579,5,0
2007,E0,Aston Villa,38,1.4253,1.0448,0.9308,0.9669,1.579,0.526,6,0
2007,E0,Blackburn,38,0.9993,0.9613,1.0017,1.0338,1.526,0.053,7,0
2007,E0,Portsmouth,38,0.9513,0.7991,1.1289,1.0407,1.5,0.211,8,0
2007,E0,Man City,38,0.9039,1.0561,0.8675,1.148,1.447,-0.211,9,0
2007,E0,West Ham,38,0.8409,0.9931,0.9432,1.0474,1.289,-0.211,10,0
2007,E0,Tottenham,38,1.339,1.2439,1.2158,1.0114,1.211,0.132,11,0
2007,E0,Newcastle,38,0.9155,1.296,0.9421,1.1946,1.132,-0.526,12,0
2007,E0,Middlesbrough,38,0.8636,1.0539,0.9748,1.0028,1.105,-0.263,13,0
2007,E0,Wigan,38,0.6811,1.0045,0.8072,0.9314,1.053,-0.447,14,0
2007,E0,Sunderland,38,0.7273,1.1649,0.8829,1.0232,1.026,-0.605,15,0
2007,E0,Bolton,38,0.7235,1.066,0.9283,1.0886,0.974,-0.474,16,0
2007,E0,Reading,38,0.8348,1.3104,0.8149,1.2117,0.947,-0.658,17,0
2007,E0,Fulham,38,0.7686,1.1872,0.8721,1.0645,0.947,-0.579,18,0
2007,E0,Birmingham,38,0.9329,1.2373,0.804,1.1568,0.921,-0.421,19,0
2007,E0,Derby,38,0.4165,1.7293,0.7797,1.2888,0.289,-1.816,20,0
2008,E0,Man United,38,1.4123,0.5223,1.4899,0.7935,2.368,1.158,1,0
2008,E0,Liverpool,38,1.6051,0.5938,1.2185,0.5754,2.263,1.316,2,0
2008,E0,Chelsea,38,1.4123,0.5223,1.4232,0.803,2.184,1.158,3,0
2008,E0,Arsenal,38,1.4332,0.8061,1.2483,0.7346,1.895,0.816,4,0
2008,E0,Everton,38,1.1585,0.7944,0.9264,0.9417,1.658,0.474,5,0
2008,E0,Aston Villa,38,1.1515,1.0302,0.9013,1.0002,1.632,0.158,6,0
2008,E0,Fulham,38,0.8182,0.717,0.938,1.0141,1.395,0.132,7,0
2008,E0,West Ham,38,0.892,0.9527,0.988,1.2049,1.342,-0.079,8,0
2008,E0,Tottenham,38,0.9559,0.9559,1.117,0.9915,1.342,0.0,9,0
2008,E0,Man City,38,1.24,1.0782,1.0682,0.9769,1.316,0.211,10,0
2008,E0,Stoke,38,0.8159,1.1598,0.5529,1.1427,1.184,-0.447,11,0
2008,E0,Wigan,38,0.7218,0.9443,0.9015,0.8368,1.184,-0.289,12,0
2008,E0,Portsmouth,38,0.8178,1.2021,0.9281,1.0575,1.079,-0.5,13,0
2008,E0,Bolton,38,0.8785,1.1212,0.9912,1.2652,1.079,-0.316,14,0
2008,E0,Blackburn,38,0.8638,1.2684,0.8731,0.9112,1.079,-0.526,15,0
2008,E0,Sunderland,38,0.729,1.1335,0.846,1.1086,0.947,-0.526,16,0
2008,E0,Hull,38,0.846,1.3517,0.8585,1.1172,0.921,-0.658,17,0
2008,E0,Newcastle,38,0.8629,1.2472,0.8086,1.0826,0.895,-0.5,18,0
2008,E0,West Brom,38,0.7834,1.4104,1.0347,1.244,0.842,-0.816,19,0
2008,E0,Middlesbrough,38,0.6021,1.1887,0.8865,1.1985,0.842,-0.763,20,0
2009,E0,Chelsea,38,1.9267,0.6412,1.4692,0.6294,2.263,1.868,1,0
2009,E0,Man United,38,1.6012,0.5511,1.3123,0.7732,2.237,1.526,2,0
2009,E0,Arsenal,38,1.5659,0.8054,1.2504,0.7002,1.974,1.105,3,0
2009,E0,Tottenham,38,1.2631,0.7924,1.3447,1.0183,1.842,0.684,4,0
2009,E0,Man City,38,1.3822,0.8753,0.9641,0.8284,1.763,0.737,5,0
2009,E0,Aston Villa,38,0.9778,0.7424,0.9319,1.1886,1.684,0.342,6,0
2009,E0,Liverpool,38,1.1429,0.6721,1.0944,0.6984,1.658,0.684,7,0
2009,E0,Everton,38,1.14,0.9408,1.1811,0.9354,1.605,0.289,8,0
2009,E0,Birmingham,38,0.7198,0.8828,0.8569,1.1686,1.316,-0.237,9,0
2009,E0,Blackburn,38,0.7829,1.0364,0.9188,0.9994,1.316,-0.368,10,0
2009,E0,Stoke,38,0.6445,0.898,0.6608,1.1302,1.237,-0.368,11,0
2009,E0,Fulham,38,0.738,0.8648,0.8062,0.8942,1.211,-0.184,12,0
2009,E0,Sunderland,38,0.9179,1.0627,0.8353,1.0334,1.158,-0.211,13,0
2009,E0,Bolton,38,0.8118,1.2644,0.9591,1.1865,1.026,-0.658,14,0
2009,E0,Wolves,38,0.6114,1.0459,0.7987,1.0811,1.0,-0.632,15,0
2009,E0,Wigan,38,0.7236,1.4841,1.0295,1.0478,0.947,-1.105,16,0
2009,E0,West Ham,38,0.9078,1.2518,1.0037,1.1468,0.921,-0.5,17,0
2009,E0,Hull,38,0.6621,1.4044,0.7077,1.2394,0.789,-1.079,18,0
2009,E0,Burnley,38,0.8243,1.5485,0.8911,1.2321,0.789,-1.053,19,0
2009,E0,Portsmouth,38,0.6561,1.2355,0.9841,1.0684,0.737,-0.842,20,0
2010,E0,Man United,38,1.4474,0.7137,1.1844,0.7543,2.105,1.079,1,0
2010,E0,Chelsea,38,1.2749,0.6307,1.3196,0.8306,1.868,0.947,2,0
2010,E0,Man City,38,1.1083,0.6251,1.0611,0.8736,1.868,0.711,3,0
2010,E0,Arsenal,38,1.3438,0.8249,1.3052,0.7316,1.789,0.763,4,0
2010,E0,Tottenham,38,1.0288,0.8678,1.2408,0.976,1.632,0.237,5,0
2010,E0,Liverpool,38,1.1016,0.8332,1.0269,0.81,1.526,0.395,6,0
2010,E0,Everton,38,0.9529,0.8455,1.1026,0.9261,1.421,0.158,7,0
2010,E0,Fulham,38,0.9136,0.8063,0.9637,0.9232,1.289,0.158,8,0
2010,E0,Aston Villa,38,0.9092,1.106,0.937,1.0878,1.263,-0.289,9,0
2010,E0,Sunderland,38,0.8497,1.0465,0.8909,1.0159,1.237,-0.289,10,0
2010,E0,West Brom,38,1.0742,1.3426,1.1105,0.9966,1.237,-0.395,11,0
2010,E0,Bolton,38,0.9822,1.0538,1.0684,1.072,1.211,-0.105,12,0
2010,E0,Newcastle,38,1.0591,1.077,0.9714,0.9236,1.211,-0.026,13,0
2010,E0,Stoke,38,0.8618,0.8976,0.7887,0.9799,1.211,-0.053,14,0
2010,E0,Blackburn,38,0.8712,1.1038,0.7483,1.2299,1.132,-0.342,15,0
2010,E0,Wigan,38,0.7588,1.1346,0.9768,0.9548,1.105,-0.553,16,0
2010,E0,Wolves,38,0.8773,1.2352,0.8063,1.1225,1.053,-0.526,17,0
2010,E0,Birmingham,38,0.6997,1.0755,0.6058,1.1868,1.026,-0.553,18,0
2010,E0,Blackpool,38,1.0625,1.474,0.9271,1.361,1.026,-0.605,19,0
2010,E0,West Ham,38,0.8232,1.3063,0.9644,1.2439,0.868,-0.711,20,0
2011,E0,Man United,38,1.6424,0.6422,1.3221,0.9606,2.342,1.474,1,0
2011,E0,Man City,38,1.7096,0.5664,1.4139,0.7487,2.342,1.684,2,0
2011,E0,Arsenal,38,1.387,0.9405,1.2452,0.7166,1.842,0.658,3,0
2011,E0,Tottenham,38,1.2267,0.7802,1.3337,0.9209,1.816,0.658,4,0
2011,E0,Newcastle,38,1.0508,0.9615,0.9149,0.9865,1.711,0.132,5,0
2011,E0,Chelsea,38,1.2141,0.8747,1.1913,0.8741,1.684,0.5,6,0
2011,E0,Everton,38,0.9279,0.7492,0.8994,0.8107,1.474,0.263,7,0
2011,E0,Fulham,38,0.9003,0.9539,1.0866,1.1037,1.368,-0.079,8,0
2011,E0,Liverpool,38,0.8721,0.747,1.1677,0.7208,1.368,0.184,9,0
2011,E0,Norwich,38,0.9902,1.2403,0.9198,1.162,1.237,-0.368,10,0
2011,E0,Swansea,38,0.8251,0.9502,0.8683,1.0661,1.237,-0.184,11,0
2011,E0,West Brom,38,0.8447,0.9698,0.9482,1.0062,1.237,-0.184,12,0
2011,E0,Stoke,38,0.6762,0.9798,0.543,1.0308,1.184,-0.447,13,0
2011,E0,Sunderland,38,0.8398,0.8577,0.8399,1.0752,1.184,-0.026,14,0
2011,E0,Wigan,38,0.7961,1.1533,0.926,0.9943,1.132,-0.526,15,0
2011,E0,Aston Villa,38,0.695,0.9808,0.7292,1.0089,1.0,-0.421,16,0
2011,E0,QPR,38,0.8184,1.2292,0.9561,1.1642,0.974,-0.605,17,0
2011,E0,Bolton,38,0.8853,1.4391,0.9991,1.2243,0.947,-0.816,18,0
2011,E0,Blackburn,38,0.9249,1.4608,0.8576,1.0691,0.816,-0.789,19,0
2011,E0,Wolves,38,0.7734,1.5236,0.8379,1.3564,0.658,-1.105,20,0
2012,E0,Man United,38,1.607,0.8371,1.1041,0.9529,2.342,1.132,1,0
2012,E0,Man City,38,1.2213,0.6483,1.2835,0.7102,2.053,0.842,2,0
2012,E0,Chelsea,38,1.3952,0.7506,1.2424,0.9787,1.974,0.947,3,0
2012,E0,Arsenal,38,1.3365,0.7099,1.1905,0.7404,1.921,0.921,4,0
2012,E0,Tottenham,38,1.2359,0.8778,1.3889,0.7067,1.895,0.526,5,0
2012,E0,Everton,38,1.0234,0.7548,1.1814,0.8895,1.658,0.395,6,0
2012,E0,Liverpool,38,1.3259,0.8245,1.4119,0.8211,1.605,0.737,7,0
2012,E0,West Brom,38,1.0028,1.0744,0.9406,1.0812,1.289,-0.105,8,0
2012,E0,West Ham,38,0.8477,0.9909,0.9388,1.2693,1.211,-0.211,9,0
2012,E0,Swansea,38,0.8837,0.9553,0.9797,1.1907,1.211,-0.105,10,0
2012,E0,Norwich,38,0.776,1.0804,0.7495,0.9499,1.158,-0.447,11,0
2012,E0,Fulham,38,0.9487,1.1277,0.9133,1.2087,1.132,-0.263,12,0
2012,E0,Stoke,38,0.6352,0.8321,0.6097,0.9649,1.105,-0.289,13,0
2012,E0,Southampton,38,0.9297,1.1266,0.9319,0.8299,1.079,-0.289,14,0
2012,E0,Newcastle,38,0.8604,1.2722,0.929,0.922,1.079,-0.605,15,0
2012,E0,Aston Villa,38,0.8997,1.2936,0.8367,1.0864,1.079,-0.579,16,0
2012,E0,Sunderland,38,0.7729,1.0057,0.8252,1.1628,1.026,-0.342,17,0
2012,E0,Wigan,38,0.9033,1.3688,0.9532,1.0377,0.947,-0.684,18,0
2012,E0,Reading,38,0.8262,1.3633,0.6731,1.2955,0.737,-0.789,19,0
2012,E0,QPR,38,0.5686,1.1057,0.9167,1.2015,0.658,-0.789,20,0
2013,E0,Man City,38,1.9177,0.7409,1.3863,0.7355,2.263,1.711,1,0
2013,E0,Liverpool,38,1.925,1.0016,1.5225,0.9109,2.211,1.342,2,0
2013,E0,Chelsea,38,1.32,0.5234,1.3287,0.7452,2.158,1.158,3,0
2013,E0,Arsenal,38,1.2819,0.7931,1.2355,0.9269,2.079,0.711,4,0
2013,E0,Everton,38,1.1473,0.749,1.1463,0.9106,1.895,0.579,5,0
2013,E0,Tottenham,38,1.0467,0.9743,1.1123,0.9328,1.816,0.105,6,0
2013,E0,Man United,38,1.2088,0.8286,1.0614,0.8651,1.684,0.553,7,0
2013,E0,Southampton,38,1.0225,0.8777,1.0328,0.7691,1.474,0.211,8,0
2013,E0,Stoke,38,0.8568,0.9836,0.823,1.0474,1.316,-0.184,9,0
2013,E0,Newcastle,38,0.8244,1.1141,1.0869,1.0027,1.289,-0.421,10,0
2013,E0,Crystal Palace,38,0.6255,0.8971,0.8438,0.9841,1.184,-0.395,11,0
2013,E0,Swansea,38,1.0308,1.0308,0.9577,0.9016,1.105,0.0,12,0
2013,E0,West Ham,38,0.7607,0.9598,0.7102,1.1984,1.053,-0.289,13,0
2013,E0,Aston Villa,38,0.749,1.1473,0.7909,0.9872,1.0,-0.579,14,0
2013,E0,Sunderland,38,0.7868,1.1308,0.8197,1.2461,1.0,-0.5,15,0
2013,E0,Hull,38,0.724,0.9956,0.7594,0.939,0.974,-0.395,16,0
2013,E0,West Brom,38,0.8244,1.1141,0.8562,0.9965,0.947,-0.421,17,0
2013,E0,Norwich,38,0.538,1.1535,0.868,1.1261,0.868,-0.895,18,0
2013,E0,Fulham,38,0.7872,1.6019,0.9,1.4218,0.842,-1.184,19,0
2013,E0,Cardiff,38,0.6224,1.3828,0.7582,1.353,0.789,-1.105,20,0
2014,E0,Chelsea,38,1.4749,0.6745,1.3019,0.7898,2.289,1.079,1,0
2014,E0,Man City,38,1.6888,0.8103,1.4162,0.8267,2.079,1.184,2,0
2014,E0,Arsenal,38,1.4407,0.7574,1.4167,0.8331,1.974,0.921,3,0
2014,E0,Man United,38,1.2589,0.7709,1.1151,0.8829,1.842,0.658,4,0
2014,E0,Tottenham,38,1.1983,1.1006,1.0828,1.0828,1.684,0.132,5,0
2014,E0,Liverpool,38,1.068,0.99,1.21,0.9063,1.632,0.105,6,0
2014,E0,Southampton,38,1.0914,0.6814,1.0499,0.7164,1.579,0.553,7,0
2014,E0,Swansea,38,0.9455,1.0041,0.9311,1.1991,1.474,-0.079,8,0
2014,E0,Stoke,38,0.9825,0.9239,0.8475,0.8892,1.421,0.079,9,0
2014,E0,Crystal Palace,38,0.9682,1.0463,0.8685,0.94,1.263,-0.105,10,0
2014,E0,West Ham,38,0.9023,0.9609,0.9588,1.1195,1.237,-0.079,11,0
2014,E0,Everton,38,0.9878,1.0268,1.0298,0.8036,1.237,-0.053,12,0
2014,E0,West Brom,38,0.7824,1.0362,0.8215,1.155,1.158,-0.342,13,0
2014,E0,Leicester,38,0.9517,1.1274,0.8622,1.0766,1.079,-0.237,14,0
2014,E0,Newcastle,38,0.8345,1.2835,0.8971,1.0162,1.026,-0.605,15,0
2014,E0,Aston Villa,38,0.6421,1.1497,0.7983,1.0544,1.0,-0.684,16,0
2014,E0,Sunderland,38,0.6394,1.0689,0.8182,1.2231,1.0,-0.579,17,0
2014,E0,Hull,38,0.6793,1.0307,0.82,0.9748,0.921,-0.474,18,0
2014,E0,Burnley,38,0.5774,1.0655,0.7901,1.1593,0.868,-0.658,19,0
2014,E0,QPR,38,0.886,1.4912,0.9643,1.3513,0.789,-0.816,20,0
2015,E0,Leicester,38,1.3081,0.7145,1.1139,0.8904,2.132,0.842,1,0
2015,E0,Arsenal,38,1.2503,0.7123,1.2968,0.9557,1.868,0.763,2,0
2015,E0,Tottenham,38,1.326,0.6953,1.5289,0.7704,1.842,0.895,3,0
2015,E0,Man United,38,0.941,0.6813,0.8739,0.7563,1.737,0.368,4,0
2015,E0,Man City,38,1.3731,0.8166,1.2853,0.7855,1.737,0.789,5,0
2015,E0,Southampton,38,1.1404,0.8065,1.0388,0.8683,1.658,0.474,6,0
2015,E0,West Ham,38,1.2699,1.0102,1.1417,1.0476,1.632,0.368,7,0
2015,E0,Liverpool,38,1.2294,0.9882,1.2456,0.834,1.579,0.342,8,0
2015,E0,Stoke,38,0.8032,1.0629,0.8082,1.0846,1.342,-0.368,9,0
2015,E0,Chelsea,38,1.1547,1.0434,1.0771,1.1124,1.316,0.158,10,0
2015,E0,Swansea,38,0.8203,1.0058,0.8434,1.0375,1.237,-0.263,11,0
2015,E0,Everton,38,1.1571,1.0829,1.0918,1.1506,1.237,0.105,12,0
2015,E0,Watford,38,0.7796,0.9651,0.8448,1.0682,1.184,-0.263,13,0
2015,E0,West Brom,38,0.6611,0.9208,0.6551,0.9727,1.132,-0.368,14,0
2015,E0,Crystal Palace,38,0.7609,0.9835,0.9438,1.0614,1.105,-0.316,15,0
2015,E0,Bournemouth,38,0.8928,1.3009,0.8888,0.9476,1.105,-0.579,16,0
2015,E0,Sunderland,38,0.9476,1.2073,0.9013,1.3423,1.026,-0.368,17,0
2015,E0,Newcastle,38,0.8711,1.2606,0.9457,1.0986,0.974,-0.553,18,0
2015,E0,Norwich,38,0.7734,1.2928,0.782,1.0525,0.895,-0.737,19,0
2015,E0,Aston Villa,38,0.54,1.4489,0.693,1.1634,0.447,-1.289,20,0
2016,E0,Chelsea,38,1.5729,0.6415,1.2189,0.6465,2.447,1.368,1,0
2016,E0,Tottenham,38,1.5803,0.5056,1.5395,0.6953,2.263,1.579,2,0
2016,E0,Man City,38,1.4891,0.7547,1.2972,0.6554,2.053,1.079,3,0
2016,E0,Liverpool,38,1.4562,0.8113,1.4147,0.7093,2.0,0.947,4,0
2016,E0,Arsenal,38,1.4403,0.8493,1.2191,1.0283,1.974,0.868,5,0
2016,E0,Man United,38,0.9944,0.5466,1.2585,0.7034,1.816,0.658,6,0
2016,E0,Everton,38,1.159,0.8366,1.163,0.9086,1.605,0.474,7,0
2016,E0,Bournemouth,38,1.0517,1.2667,0.9815,1.1492,1.211,-0.316,8,0
2016,E0,Southampton,38,0.7687,0.8941,1.0771,0.7822,1.211,-0.184,9,0
2016,E0,West Ham,38,0.8956,1.2001,0.844,1.0926,1.184,-0.447,10,0
2016,E0,West Brom,38,0.8087,0.952,0.7475,0.973,1.184,-0.211,11,0
2016,E0,Leicester,38,0.9138,1.1824,0.8898,1.1558,1.158,-0.395,12,0
2016,E0,Stoke,38,0.7748,1.0435,0.8379,1.0923,1.158,-0.395,13,0
2016,E0,Swansea,38,0.8625,1.3103,0.8942,1.1197,1.079,-0.658,14,0
2016,E0,Crystal Palace,38,0.952,1.1848,0.8429,1.0684,1.079,-0.342,15,0
2016,E0,Burnley,38,0.7362,1.0228,0.7408,1.2669,1.053,-0.421,16,0
2016,E0,Watford,38,0.7649,1.2664,0.8831,1.1433,1.053,-0.737,17,0
2016,E0,Hull,38,0.7159,1.4861,0.7851,1.2939,0.895,-1.132,18,0
2016,E0,Middlesbrough,38,0.5084,0.9741,0.6094,1.0257,0.737,-0.684,19,0
2016,E0,Sunderland,38,0.5547,1.2711,0.7559,1.4902,0.632,-1.053,20,0
2017,E0,Man City,38,2.0417,0.5629,1.6031,0.5645,2.632,2.079,1,0
2017,E0,Man United,38,1.3096,0.5609,1.1327,0.9238,2.132,1.053,2,0
2017,E0,Tottenham,38,1.4374,0.7261,1.3497,0.8065,2.026,1.0,3,0
2017,E0,Liverpool,38,1.6357,0.7747,1.4384,0.6624,1.974,1.211,4,0
2017,E0,Chelsea,38,1.2062,0.757,1.3657,0.7688,1.842,0.632,5,0
2017,E0,Arsenal,38,1.4604,1.0299,1.4671,0.9598,1.658,0.605,6,0
2017,E0,Burnley,38,0.7004,0.7565,0.7988,1.0196,1.421,-0.079,7,0
2017,E0,Everton,38,0.8732,1.1353,0.7721,1.1362,1.289,-0.368,8,0
2017,E0,Leicester,38,1.1145,1.1894,0.9324,1.0518,1.237,-0.105,9,0
2017,E0,Newcastle,38,0.765,0.9148,0.9416,0.9834,1.158,-0.211,10,0
2017,E0,Bournemouth,38,0.8959,1.1954,0.9986,1.112,1.158,-0.421,11,0
2017,E0,Crystal Palace,38,0.8903,1.0775,0.9539,1.1031,1.158,-0.263,12,0
2017,E0,West Ham,38,0.9629,1.3373,0.8438,1.1841,1.105,-0.526,13,0
2017,E0,Watford,38,0.8787,1.2531,0.8292,0.9963,1.079,-0.526,14,0
2017,E0,Brighton,38,0.6716,1.0459,0.7462,1.1222,1.053,-0.526,15,0
2017,E0,Huddersfield,38,0.5551,1.1167,0.6982,1.0205,0.974,-0.789,16,0
2017,E0,Southampton,38,0.7324,1.0881,0.9141,1.0633,0.947,-0.5,17,0
2017,E0,Stoke,38,0.7014,1.3192,0.8395,1.3707,0.868,-0.868,18,0
2017,E0,Swansea,38,0.554,1.0781,0.6597,1.1789,0.868,-0.737,19,0
2017,E0,West Brom,38,0.6135,1.0814,0.7152,0.9719,0.816,-0.658,20,0
2018,E0,Man City,38,1.7286,0.4478,1.5351,0.5171,2.579,1.895,1,0
2018,E0,Liverpool,38,1.6176,0.4258,1.3399,0.598,2.553,1.763,2,0
2018,E0,Chelsea,38,1.1635,0.7366,1.1848,0.7764,1.895,0.632,3,0
2018,E0,Tottenham,38,1.2376,0.7395,1.1424,0.9699,1.868,0.737,4,0
