game_id,season,date,home_team,away_team,odds_source,is_closing,price_home,price_draw,price_away,overround_1x2,ah_home,price_ah_home,price_ah_away,total_line,price_over,price_under,mkt_p_home,mkt_p_draw,mkt_p_away,mkt_sup,mkt_total
2019_crystalpalace_chelsea,2019,2020-07-07,Crystal Palace,Chelsea,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,8.43,4.5,1.43,1.0401,1.3,1.9,2.0,2.5,1.83,2.0,0.1076,0.21,0.6824,-1.3,2.769
2019_watford_norwich,2019,2020-07-07,Watford,Norwich,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,1.75,3.71,5.02,1.0402,-0.8,2.02,1.88,2.5,2.05,1.8,0.5558,0.2569,0.1873,0.8,2.539
2019_brighton_liverpool,2019,2020-07-08,Brighton,Liverpool,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,5.99,4.26,1.56,1.0427,1.0,1.93,1.97,2.5,1.73,2.12,0.1546,0.2216,0.6237,-1.0,2.896
2019_mancity_newcastle,2019,2020-07-08,Man City,Newcastle,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,1.13,9.15,22.2,1.0393,-2.3,1.88,2.02,2.5,1.39,3.01,0.8667,0.0981,0.0352,2.3,3.579
2019_sheffieldunited_wolves,2019,2020-07-08,Sheffield United,Wolves,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,3.96,3.08,2.14,1.0445,0.3,2.08,1.82,2.5,2.69,1.47,0.2388,0.3101,0.4512,-0.3,2.083
2019_westham_burnley,2019,2020-07-08,West Ham,Burnley,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,2.02,3.42,3.89,1.0445,-0.5,2.03,1.87,2.5,2.06,1.78,0.4786,0.2782,0.2432,0.5,2.522
2019_astonvilla_manunited,2019,2020-07-09,Aston Villa,Man United,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,9.26,5.15,1.35,1.0429,1.5,1.87,2.03,2.5,1.65,2.25,0.0963,0.1814,0.7223,-1.5,3.018
2019_bournemouth_tottenham,2019,2020-07-09,Bournemouth,Tottenham,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,5.03,4.0,1.68,1.044,0.8,2.01,1.89,2.5,1.73,2.12,0.1858,0.2364,0.5779,-0.8,2.896
2019_everton_southampton,2019,2020-07-09,Everton,Southampton,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,2.07,3.51,3.62,1.0442,-0.5,2.07,1.83,2.5,1.92,1.9,0.4669,0.2708,0.2623,0.5,2.663
2019_brighton_mancity,2019,2020-07-11,Brighton,Man City,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,9.95,5.62,1.31,1.0418,1.5,2.04,1.86,2.5,1.52,2.55,0.0892,0.1656,0.7452,-1.5,3.262
2019_liverpool_burnley,2019,2020-07-11,Liverpool,Burnley,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,1.25,6.27,11.44,1.0469,-1.8,1.97,1.93,2.5,1.52,2.54,0.7792,0.1459,0.0749,1.8,3.258
2019_norwich_westham,2019,2020-07-11,Norwich,West Ham,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,3.76,3.65,1.99,1.0424,0.5,1.9,2.0,2.5,1.83,2.01,0.2527,0.2606,0.4867,-0.5,2.775
2019_sheffieldunited_chelsea,2019,2020-07-11,Sheffield United,Chelsea,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,6.07,3.93,1.6,1.0442,1.0,1.82,2.08,2.5,1.98,1.85,0.152,0.2407,0.6073,-1.0,2.603
2019_watford_newcastle,2019,2020-07-11,Watford,Newcastle,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,1.82,3.58,4.65,1.0438,-0.8,2.02,1.77,2.5,2.06,1.78,0.5327,0.2654,0.2019,0.8,2.522
2019_astonvilla_crystalpalace,2019,2020-07-12,Aston Villa,Crystal Palace,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,2.29,3.35,3.24,1.0438,-0.3,1.97,1.93,2.5,2.01,1.82,0.4211,0.2844,0.2945,0.3,2.57
2019_bournemouth_leicester,2019,2020-07-12,Bournemouth,Leicester,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,5.14,3.82,1.7,1.0446,0.8,1.96,1.94,2.5,1.89,1.92,0.1814,0.2478,0.5708,-0.8,2.691
2019_tottenham_arsenal,2019,2020-07-12,Tottenham,Arsenal,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,2.6,3.48,2.68,1.0451,0.0,1.93,1.97,2.5,1.77,2.08,0.3692,0.273,0.3578,-0.0,2.849
2019_wolves_everton,2019,2020-07-12,Wolves,Everton,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,2.06,3.25,4.01,1.0425,-0.5,2.05,1.85,2.5,2.49,1.55,0.4698,0.2939,0.2362,0.5,2.203
2019_manunited_southampton,2019,2020-07-13,Man United,Southampton,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,1.29,5.73,10.41,1.0458,-1.5,1.95,1.95,2.5,1.61,2.33,0.7552,0.1611,0.0838,1.5,3.087
2019_chelsea_norwich,2019,2020-07-14,Chelsea,Norwich,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,1.13,9.5,20.76,1.0384,-2.5,2.02,1.77,2.5,1.36,3.17,0.8671,0.0945,0.0385,2.5,3.673
2019_arsenal_liverpool,2019,2020-07-15,Arsenal,Liverpool,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,3.89,3.89,1.89,1.0432,0.5,2.01,1.89,2.5,1.58,2.41,0.2436,0.2436,0.5128,-0.5,3.147
2019_burnley_wolves,2019,2020-07-15,Burnley,Wolves,"OddHome/OddDraw/OddAway,Over25/Under25,HandiSize/HandiHome/HandiAway",False,4.65,3.3,1.9,1.0444,0.5,1.99,1.91,2.5,2.52,1.53,0.2017,0.2887,0.5096,-0.5,2.179
