game_id,season,week,date,tip_et,home_team,away_team,neutral_site,conference_game,total_line,spread_home,provider,over_price,under_price,spread_home_price,spread_away_price,total_book,spread_book,h_games,a_games,exp_total,exp_margin,total_pred,total_raw,total_edge,total_disagree,total_sigma,total_model,total_p_over,margin_pred,margin_raw,margin_edge,margin_disagree,margin_sigma,margin_model,margin_p_over,total_pick,total_p_win,total_price,total_payout,total_ev,total_stake,spread_side,spread_number,spread_pick,spread_p_win,spread_price,spread_payout,spread_ev,spread_stake,thin_data,total_strength,spread_strength,prediction_date,p_home_win,p_away_win,kalshi_home_ask,kalshi_away_ask,kalshi_home_ev,kalshi_away_ev,kalshi_spread_c,kalshi_side,kalshi_ticker,kalshi_tradeable,ml_pick,ml_ask,ml_p_home,ml_ev,ml_roi,ml_stake,ml_model_cents,kt_pick,kt_ticker,ks_pick,ks_ticker,kt_strike,kt_ask,kt_prob,kt_ev,kt_book_gap,ks_strike,ks_ask,ks_prob,ks_ev,ks_book_gap,kalshi_incoherent,kt_rungs,ks_rungs
401864498,2026,1,2026-09-05,"Sat Sep 05, 10:00 PM",New Mexico,Central Michigan,False,False,46.5,-10.0,Bovada,,,,,,,0,0,45.57943036263241,9.477298813287625,45.9,44.2,-0.6,-2.3,16.12,total_market,0.4855,10.1,10.9,0.1,0.9,15.38,margin_market,0.5035,Under,0.5145,,0.9090909090909091,-0.018,0.0,New Mexico,-10.0,New Mexico -10.0,0.5035,,0.9090909090909091,-0.039,0.0,True,pass,pass,2026-09-04,0.7443,0.2557,0.8,0.21,-0.0669,0.0341,1.0,Central Michigan,KXNCAAFGAME-26SEP05CMUUNM-CMU,True,,,0.7443,,,,,,,,,,,,,,,,,,,False,,
401866411,2026,1,2026-09-05,"Sat Sep 05, 10:00 PM",Sacramento State,Mississippi Valley State,False,False,56.5,-37.5,DraftKings,,,,,,,1,1,58.6905831954773,27.570133169306853,58.2,63.2,1.7,6.7,16.12,total_market,0.5415,38.0,40.9,0.5,3.4,15.38,margin_market,0.5133,Over,0.5415,,0.9090909090909091,0.034,0.93,Sacramento State,-37.5,Sacramento State -37.5,0.5133,,0.9090909090909091,-0.02,0.0,True,thin,pass,2026-09-04,0.9933,0.0067,0.99,0.02,0.0026,-0.0147,2.0,Sacramento State,KXNCAAFGAME-26SEP05MVSUSAC-SAC,True,,,0.9933,,,,,,,,,,,,,,,,,,,False,,
401868163,2026,1,2026-09-05,"Sat Sep 05, 10:00 PM",San Diego,UC Davis,False,False,57.5,15.5,DraftKings,,,,,,,0,1,55.617819953450045,1.321162962820424,57.4,57.1,-0.1,-0.4,16.12,total_market,0.4973,-14.9,-11.5,0.6,4.0,15.38,margin_market,0.5158,Under,0.5026999999999999,,0.9090909090909091,-0.04,0.0,San Diego,15.5,San Diego +15.5,0.5158,,0.9090909090909091,-0.015,0.0,True,pass,thin,2026-09-04,0.1663,0.8337,0.15,0.86,0.0074,-0.0347,1.0,San Diego,KXNCAAFGAME-26SEP05UCDUSD-USD,True,,,0.1663,,,,,,,,,,,,,,,,,,,False,,
401858210,2026,1,2026-09-05,"Sat Sep 05, 10:30 PM",California,UCLA,False,False,53.5,2.5,Bovada,,,,,,,0,0,55.42785916956839,5.721809469892202,53.6,53.8,0.1,0.3,16.12,total_market,0.5019,-2.6,-3.1,-0.1,-0.6,15.38,margin_market,0.4977,Over,0.5019,,0.9090909090909091,-0.042,0.0,UCLA,-2.5,UCLA -2.5,0.5023,,0.9090909090909091,-0.041,0.0,True,pass,pass,2026-09-04,0.4329,0.5671,0.46,0.55,-0.0445,-0.0002,1.0,UCLA,KXNCAAFGAME-26SEP05UCLACAL-UCLA,True,,,0.4329,,,,,,,,,,,,,,,,,,,False,,
401864432,2026,1,2026-09-05,"Sat Sep 05, 10:30 PM",Nevada,Western Kentucky,False,False,52.5,1.0,Bovada,,,,,,,0,0,47.56010716422969,-4.301842158135248,52.8,53.9,0.3,1.4,16.12,total_market,0.5085,-0.6,1.4,0.4,2.4,15.38,margin_market,0.5094,Over,0.5085,,0.9090909090909091,-0.029,0.0,Nevada,1.0,Nevada +1.0,0.5094,,0.9090909090909091,-0.028,0.0,True,pass,pass,2026-09-04,0.4844,0.5156,0.5,0.51,-0.0331,-0.0119,1.0,Western Kentucky,KXNCAAFGAME-26SEP05WKUNEV-WKU,True,,,0.4844,,,,,,,,,,,,,,,,,,,False,,
401856634,2026,1,2026-09-05,"Sat Sep 05, 12:00 PM",Alabama,East Carolina,False,False,52.5,-28.0,Bovada,,,,,,,0,0,50.877731597573586,7.497619581640242,52.2,51.3,-0.3,-1.2,16.12,total_market,0.4927,28.3,30.2,0.3,2.2,15.38,margin_market,0.5086,Under,0.5073,,0.9090909090909091,-0.032,0.0,Alabama,-28.0,Alabama -28.0,0.5086,,0.9090909090909091,-0.029,0.0,True,pass,pass,2026-09-04,0.9671,0.0329,0.96,0.05,0.0044,-0.0204,1.0,Alabama,KXNCAAFGAME-26SEP05ECUALA-ALA,True,,,0.9671,,,,,,,,,,,,,,,,,,,False,,
401856778,2026,1,2026-09-05,"Sat Sep 05, 12:00 PM",Houston,Oregon State,False,False,49.5,-21.0,Bovada,,,,,,,0,0,50.74646987856204,16.752374068483327,49.2,48.2,-0.3,-1.3,16.12,total_market,0.4917,20.5,17.7,-0.5,-3.3,15.38,margin_market,0.4871,Under,0.5083,,0.9090909090909091,-0.03,0.0,Oregon State,21.0,Oregon State +21.0,0.5129,,0.9090909090909091,-0.021,0.0,True,pass,pass,2026-09-04,0.9087,0.0913,0.93,0.08,-0.0259,0.0061,1.0,Oregon State,KXNCAAFGAME-26SEP05ORSTHOU-ORST,True,,,0.9087,,,,,,,,,,,,,,,,,,,False,,
401856780,2026,1,2026-09-05,"Sat Sep 05, 12:00 PM",West Virginia,Coastal Carolina,False,False,56.0,-21.0,Bovada,,,,,,,0,0,58.23402452134686,11.27531480723545,55.0,52.2,-1.0,-3.8,16.12,total_market,0.4763,21.0,20.7,-0.0,-0.3,15.38,margin_market,0.4988,Under,0.5237,,0.9090909090909091,-0.0,0.0,Coastal Carolina,21.0,Coastal Carolina +21.0,0.5012,,0.9090909090909091,-0.043,0.0,True,pass,pass,2026-09-04,0.9139,0.0861,0.93,0.09,-0.0207,-0.0096,1.0,Coastal Carolina,KXNCAAFGAME-26SEP05CCARWVU-CCAR,True,,,0.9139,,,,,,,,,,,,,,,,,,,False,,
401858208,2026,1,2026-09-05,"Sat Sep 05, 12:00 PM",Syracuse,New Hampshire,False,False,55.5,-34.5,DraftKings,,,,,,,0,1,51.162804449208565,3.062945608471031,56.0,57.4,0.5,1.9,16.12,total_market,0.512,34.6,35.2,0.1,0.7,15.38,margin_market,0.5026,Over,0.512,,0.9090909090909091,-0.023,0.0,Syracuse,-34.5,Syracuse -34.5,0.5026,,0.9090909090909091,-0.04,0.0,True,pass,pass,2026-09-04,0.9878,0.0122,0.99,0.02,-0.0029,-0.0092,1.0,Syracuse,KXNCAAFGAME-26SEP05UNHSYR-SYR,True,,,0.9878,,,,,,,,,,,,,,,,,,,False,,
401858425,2026,1,2026-09-05,"Sat Sep 05, 12:00 PM",Indiana,North Texas,False,False,57.0,-41.0,Bovada,,,,,,,0,0,70.85830755184435,27.794714737994333,55.4,50.5,-1.6,-6.5,16.12,total_market,0.4597,41.2,42.1,0.2,1.1,15.38,margin_market,0.5043,Under,0.5403,,0.9090909090909091,0.031,0.87,Indiana,-41.0,Indiana -41.0,0.5043,,0.9090909090909091,-0.037,0.0,True,thin,pass,2026-09-04,0.9963,0.0037,0.99,0.02,0.0056,-0.0177,1.0,Indiana,KXNCAAFGAME-26SEP05UNTIND-IND,True,,,0.9963,,,,,,,,,,,,,,,,,,,False,,
