season,team,ret_ppa,ret_pass_pct,ret_rush_pct,ret_usage
2014,Utah State,168.9,1.001,0.075,0.562
2014,UTEP,138.3,0.967,0.421,0.819
2014,UTSA,200.0,0.026,0.333,0.478
2014,Vanderbilt,22.0,-0.013,-0.04,0.429
2014,Virginia,181.1,1.0,0.559,0.926
2014,Virginia Tech,174.9,0.036,0.779,0.459
2014,Wake Forest,49.4,-0.025,1.01,0.251
2014,Washington,119.9,0.058,0.107,0.306
2014,Washington State,383.2,1.087,-1.25,0.909
2014,Western Kentucky,281.9,1.021,-0.054,0.657
2014,Western Michigan,100.3,-7.565,4.842,0.577
2014,West Virginia,169.0,0.832,0.917,0.683
2014,Wisconsin,149.3,1.087,0.626,0.617
2014,Wyoming,81.1,-0.047,0.367,0.275
2015,Air Force,201.2,0.134,0.686,0.646
2015,Akron,69.4,1.304,1.003,0.758
2015,Alabama,137.2,0.101,0.281,0.251
2015,App State,402.8,0.994,0.972,0.93
2015,Arizona,399.3,1.0,0.949,0.861
2015,Arizona State,217.1,0.408,0.656,0.536
2015,Arkansas,316.0,0.965,0.863,0.942
2015,Arkansas State,375.7,1.023,1.011,0.96
2015,Army,46.1,0.871,0.166,0.278
2015,Auburn,87.1,0.254,0.142,0.157
2015,Ball State,147.1,0.43,-0.223,0.521
2015,Baylor,416.0,0.314,0.817,0.549
2015,Boise State,198.9,0.274,0.15,0.259
2015,Boston College,49.2,-0.025,0.049,0.483
2015,Bowling Green,272.6,0.928,0.957,0.839
2015,Buffalo,373.7,1.0,1.0,0.939
2015,BYU,266.7,0.326,0.701,0.53
2015,California,467.6,1.002,0.985,0.936
2015,Central Michigan,265.7,0.983,0.566,0.575
2015,Cincinnati,445.9,0.854,0.845,0.892
2015,Clemson,305.4,0.797,0.391,0.632
2015,Colorado,316.3,0.985,1.08,0.839
2015,Colorado State,263.9,0.013,0.316,0.414
2015,Duke,105.3,0.218,0.652,0.37
2015,East Carolina,98.0,0.021,0.442,0.246
2015,Eastern Michigan,64.7,-3.175,2.615,0.49
2015,Florida,108.1,0.634,0.262,0.426
2015,Florida Atlantic,137.3,1.168,1.284,0.641
2015,Florida International,78.3,0.99,0.942,0.855
2015,Florida State,134.2,0.144,0.419,0.372
2015,Fresno State,110.2,0.04,0.525,0.302
2015,Georgia,200.2,0.23,0.927,0.558
2015,Georgia Southern,224.3,1.0,0.745,0.79
2015,Georgia State,263.0,0.988,0.171,0.802
2015,Georgia Tech,229.9,0.888,0.419,0.413
2015,Hawai'i,152.0,0.826,0.618,0.778
2015,Houston,253.4,0.731,0.967,0.642
2015,Idaho,105.4,0.547,0.566,0.584
2015,Illinois,236.5,0.768,-0.265,0.555
2015,Indiana,59.6,0.766,0.177,0.471
2015,Iowa,116.9,0.145,0.038,0.356
2015,Iowa State,165.1,0.732,1.17,0.657
2015,Kansas,56.3,0.844,-0.297,0.543
2015,Kansas State,68.6,0.063,0.427,0.233
2015,Kent State,76.0,1.019,0.786,0.752
2015,Kentucky,178.3,0.933,0.972,0.818
2015,Louisiana,198.1,0.459,0.476,0.369
2015,Louisiana Tech,206.5,0.039,0.658,0.519
2015,Louisville,227.2,0.816,0.947,0.619
2015,LSU,194.1,0.907,0.713,0.77
2015,Marshall,253.4,0.091,0.619,0.347
2015,Maryland,55.5,0.341,0.22,0.34
2015,Massachusetts,327.4,0.954,1.186,0.885
2015,Memphis,262.3,0.84,0.718,0.769
2015,Miami,213.5,0.853,1.111,0.844
2015,Miami (OH),94.8,-0.01,-0.346,0.266
2015,Michigan,89.7,-0.695,0.718,0.434
2015,Michigan State,336.2,0.963,0.232,0.576
2015,Middle Tennessee,243.2,1.005,0.885,0.8
2015,Minnesota,120.9,0.706,0.665,0.495
2015,Mississippi State,368.1,0.981,0.656,0.703
2015,Missouri,160.3,0.836,0.768,0.649
2015,Navy,230.6,1.056,0.68,0.702
2015,NC State,289.4,1.005,0.917,0.804
2015,Nebraska,230.7,0.947,0.432,0.696
2015,Nevada,137.7,0.087,0.251,0.442
2015,New Mexico,190.9,1.246,0.906,0.847
2015,New Mexico State,204.2,1.0,1.303,0.836
2015,North Carolina,360.1,0.958,1.0,0.95
2015,Northern Illinois,315.6,0.898,0.725,0.668
2015,North Texas,111.1,-2.464,0.479,0.64
2015,Northwestern,77.7,0.236,0.322,0.442
2015,Notre Dame,190.8,0.138,0.742,0.407
2015,Ohio,184.1,0.933,0.943,0.897
2015,Ohio State,490.7,0.781,0.963,0.913
2015,Oklahoma,331.5,0.974,0.876,0.866
2015,Oklahoma State,203.3,0.514,0.242,0.443
2015,Old Dominion,172.1,0.059,0.487,0.341
2015,Ole Miss,189.3,0.112,0.959,0.445
2015,Oregon,353.9,0.275,0.496,0.56
2015,Oregon State,93.2,0.087,-0.154,0.203
2015,Penn State,133.1,0.816,3.609,0.789
2015,Pittsburgh,289.8,0.926,0.913,0.875
2015,Purdue,104.8,0.605,0.375,0.449
2015,Rice,296.0,0.963,1.015,0.899
2015,Rutgers,162.4,-0.097,0.637,0.609
2015,San Diego State,174.9,-0.503,0.988,0.62
2015,San José State,247.5,0.844,1.191,0.806
2015,SMU,60.1,0.581,1.327,0.753
2015,South Alabama,67.9,-0.472,0.341,0.363
2015,South Carolina,157.8,0.121,0.528,0.284
2015,Southern Miss,168.8,0.84,1.057,0.816
2015,South Florida,68.5,0.053,-0.917,0.584
2015,Stanford,289.8,0.946,1.049,0.774
2015,Syracuse,101.0,2.234,0.953,0.638
2015,TCU,454.4,0.933,0.829,0.842
2015,Temple,58.1,1.235,0.557,0.699
2015,Tennessee,206.6,0.899,1.082,0.602
2015,Texas,108.1,0.851,1.306,0.63
2015,Texas A&M,263.4,0.237,0.547,0.594
2015,Texas State,320.6,0.962,0.779,0.802
2015,Texas Tech,403.8,0.879,0.845,0.877
2015,Toledo,419.0,0.971,0.921,0.912
2015,Troy,192.5,0.965,0.989,0.797
2015,Tulane,102.2,1.252,0.981,0.781
2015,Tulsa,244.0,1.0,1.0,0.986
2015,UAB,0.7,0.0,0.0,0.001
2015,UCF,139.1,0.825,-40.667,0.698
2015,UCLA,193.8,0.318,0.532,0.516
2015,UConn,32.8,0.083,14.692,0.443
2015,UL Monroe,88.0,0.067,1.396,0.297
2015,UNLV,203.9,1.875,0.717,0.677
2015,USC,260.9,0.905,0.01,0.567
2015,Utah,202.4,0.826,1.037,0.873
2015,Utah State,142.3,0.229,0.701,0.523
2015,UTEP,71.7,0.328,0.473,0.397
2015,UTSA,58.8,-1.967,3.825,0.423
2015,Vanderbilt,110.4,-129.5,1.185,0.767
2015,Virginia,147.0,0.417,2.609,0.376
2015,Virginia Tech,240.0,0.89,1.034,0.936
2015,Wake Forest,10.1,4.313,0.799,0.744
2015,Washington,174.8,0.059,0.384,0.463
2015,Washington State,228.2,0.342,0.337,0.459
2015,Western Kentucky,564.9,1.003,0.937,0.882
2015,Western Michigan,440.3,1.0,0.978,0.929
2015,West Virginia,150.2,0.155,0.743,0.421
2015,Wisconsin,226.0,0.904,0.368,0.623
2015,Wyoming,114.5,0.075,0.56,0.493
2016,Air Force,211.8,0.347,0.801,0.625
2016,Akron,181.5,0.978,0.439,0.548
2016,Alabama,148.2,0.15,-0.179,0.279
2016,App State,305.4,0.898,0.878,0.862
2016,Arizona,261.0,0.893,0.552,0.601
2016,Arizona State,159.5,0.027,0.651,0.39
2016,Arkansas,229.6,0.117,0.2,0.3
2016,Arkansas State,119.7,0.0,0.533,0.301
2016,Army,189.3,1.023,0.809,0.521
2016,Auburn,182.5,1.0,0.428,0.488
2016,Ball State,152.6,1.0,1.032,0.952
2016,Baylor,388.3,0.486,0.808,0.605
2016,Boise State,394.1,0.985,0.741,0.771
2016,Boston College,95.8,1.143,1.243,0.869
2016,Bowling Green,142.2,0.431,0.957,0.483
2016,Buffalo,68.5,0.0,-0.087,0.266
2016,BYU,325.7,0.981,0.916,0.748
2016,California,90.0,0.078,0.535,0.283
2016,Central Michigan,364.2,1.01,-0.107,0.853
2016,Charlotte,65.3,1.0,1.392,0.833
2016,Cincinnati,292.3,0.86,0.742,0.643
2016,Clemson,555.6,0.956,0.984,0.89
2016,Colorado,252.4,0.894,1.153,0.701
2016,Colorado State,194.9,0.949,0.522,0.611
